title,author,price,original_price,url,website,isbn,description,image_url,category,date_parsed
Скорбь Сатаны,Мария Корелли,339,339 ₽,https://www.chitai-gorod.ru/product/skorb-satany-2772938,chitai-gorod,978916569695,Книга 'Скорбь Сатаны...',https://content.img-gorod.ru/pim/products/images/dc/ef/01931e88-6701-7bf6-81c8-0efcbde6dcef.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
1984,Джордж Оруэлл,339,339 ₽,https://www.chitai-gorod.ru/product/1984-novyy-perevod-2918634,chitai-gorod,978167293105,Книга '1984...',https://content.img-gorod.ru/pim/products/images/02/44/01998498-eeb3-7634-8064-83caf0450244.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Грозовой перевал,Эмили Джейн Бронте,299,299 ₽,https://www.chitai-gorod.ru/product/grozovoy-pereval-2809160,chitai-gorod,978829297910,Книга 'Грозовой перевал...',https://content.img-gorod.ru/pim/products/images/57/5b/018fa205-428e-7c03-934f-c95c0275575b.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Письма Баламута. Баламут предлагает тост,Клайв Льюис,349,349 ₽,https://www.chitai-gorod.ru/product/pisma-balamuta-balamut-predlagaet-tost-2697150,chitai-gorod,978488722663,Книга 'Письма Баламута. Баламут предлагает тост...',https://content.img-gorod.ru/pim/products/images/fe/c0/0199ea73-10ab-7ef7-9ba7-1d65b19cfec0.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Преступление и наказание,Федор Достоевский,329,329 ₽,https://www.chitai-gorod.ru/product/prestuplenie-i-nakazanie-2465295,chitai-gorod,978822872605,Книга 'Преступление и наказание...',https://content.img-gorod.ru/pim/products/images/43/6f/0191b5fa-b44a-7ddd-abc9-69bb2670436f.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Мастер и Маргарита: роман,Михаил Булгаков,309,309 ₽,https://www.chitai-gorod.ru/product/master-i-margarita-roman-2926100,chitai-gorod,978955615830,Книга 'Мастер и Маргарита: роман...',https://content.img-gorod.ru/pim/products/images/e9/9b/018fa279-3bbb-7d59-bad3-940d92f5e99b.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Портрет Дориана Грея,Оскар Уайльд,309,309 ₽,https://www.chitai-gorod.ru/product/portret-doriana-greya-2592760,chitai-gorod,978227777925,Книга 'Портрет Дориана Грея...',https://content.img-gorod.ru/pim/products/images/44/7b/01993210-dde2-78f7-a0f7-4a190d60447b.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Отцы и дети,Иван Тургенев,309,309 ₽,https://www.chitai-gorod.ru/product/otcy-i-deti-2467384,chitai-gorod,978956106652,Книга 'Отцы и дети...',https://content.img-gorod.ru/pim/products/images/d3/15/01934cd2-336c-7088-b320-9c57e80dd315.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Человек недостойный,Дадзай Осаму,309,309 ₽,https://www.chitai-gorod.ru/product/chelovek-nedostoynyy-3032403,chitai-gorod,978923296181,Книга 'Человек недостойный...',https://content.img-gorod.ru/pim/products/images/85/07/0197d439-2601-7eac-9117-c6126ac18507.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Идиот,Федор Достоевский,319,319 ₽,https://www.chitai-gorod.ru/product/idiot-2891539,chitai-gorod,978961346122,Книга 'Идиот...',https://content.img-gorod.ru/pim/products/images/53/ef/018fa25b-aa96-730d-acbb-9e85ba5253ef.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Горе от ума,Александр Грибоедов,299,299 ₽,https://www.chitai-gorod.ru/product/gore-ot-uma-2499954,chitai-gorod,978622029143,Книга 'Горе от ума...',https://content.img-gorod.ru/pim/products/images/80/70/018fa15f-b954-7ef0-86dd-29fde1088070.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Обломов,Иван Гончаров,329,329 ₽,https://www.chitai-gorod.ru/product/oblomov-2931599,chitai-gorod,978842430708,Книга 'Обломов...',https://content.img-gorod.ru/pim/products/images/d4/e3/018fa295-d9b9-7c89-99e8-f462dbd9d4e3.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Скорбь Сатаны,Мария Корелли,0,1 199 ₽,https://www.chitai-gorod.ru/product/skorb-satany-3069165,chitai-gorod,978996749542,Книга 'Скорбь Сатаны...',https://content.img-gorod.ru/pim/products/images/9a/0d/019293ae-637c-7bca-ba2e-dc9456be9a0d.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Три товарища,Эрих Мария Ремарк,449,449 ₽,https://www.chitai-gorod.ru/product/tri-tovarishcha-2666861,chitai-gorod,978781434586,Книга 'Три товарища...',https://content.img-gorod.ru/pim/products/images/10/1d/0190e2dd-e926-7325-adda-3ffaf15e101d.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Гордость и предубеждение,Джейн Остен,0,0 ₽,https://www.chitai-gorod.ru/product/gordost-i-predubezhdenie-3072633,chitai-gorod,978776315044,Книга 'Гордость и предубеждение...',https://content.img-gorod.ru/pim/products/images/94/c4/01975dc4-1e2c-7b2c-b482-8a99e02b94c4.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Ставок больше нет,Жан Сартр,319,319 ₽,https://www.chitai-gorod.ru/product/stavok-bolshe-net-2777363,chitai-gorod,978516708413,Книга 'Ставок больше нет...',https://content.img-gorod.ru/pim/products/images/17/b1/018fa1e4-50b1-7ac6-b393-865f33fc17b1.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Триумфальная арка,Эрих Мария Ремарк,479,479 ₽,https://www.chitai-gorod.ru/product/triumfalnaya-arka-2602918,chitai-gorod,978418473268,Книга 'Триумфальная арка...',https://content.img-gorod.ru/pim/products/images/93/0a/018fa18a-3433-77fe-97d3-e08fd72c930a.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
"Вендетта, или История всеми забытого",Мария Корелли,339,339 ₽,https://www.chitai-gorod.ru/product/vendetta-ili-istoriya-vsemi-zabytogo-2894240,chitai-gorod,978879600349,"Книга 'Вендетта, или История всеми забытого...'",https://content.img-gorod.ru/pim/products/images/b5/fa/018fa253-8ecc-75f2-92ef-51de4fd2b5fa.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
На Западном фронте без перемен,Эрих Мария Ремарк,369,369 ₽,https://www.chitai-gorod.ru/product/na-zapadnom-fronte-bez-peremen-2454296,chitai-gorod,978865300085,Книга 'На Западном фронте без перемен...',https://content.img-gorod.ru/pim/products/images/ef/8a/018fa150-44c7-7fab-8606-3b9e19b4ef8a.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Мартин Иден,Джек Лондон,319,319 ₽,https://www.chitai-gorod.ru/product/martin-iden-2447550,chitai-gorod,978121972028,Книга 'Мартин Иден...',https://content.img-gorod.ru/pim/products/images/2c/f4/018fa154-a4d8-7198-a79a-7305136f2cf4.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Братья Карамазовы,Федор Достоевский,379,379 ₽,https://www.chitai-gorod.ru/product/bratya-karamazovy-2863345,chitai-gorod,978816129701,Книга 'Братья Карамазовы...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Мы,Евгений Замятин,299,299 ₽,https://www.chitai-gorod.ru/product/my-2898879,chitai-gorod,978669192836,Книга 'Мы...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Белые ночи,Федор Достоевский,299,299 ₽,https://www.chitai-gorod.ru/product/belye-nochi-2628067,chitai-gorod,978166373295,Книга 'Белые ночи...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Игрок,Федор Достоевский,299,299 ₽,https://www.chitai-gorod.ru/product/igrok-2588414,chitai-gorod,978355508901,Книга 'Игрок...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Гроза. Бесприданница,Александр Островский,299,299 ₽,https://www.chitai-gorod.ru/product/groza-bespridannica-2518553,chitai-gorod,978212390940,Книга 'Гроза. Бесприданница...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Маленькие женщины,Луиза Мэй Олкотт,309,309 ₽,https://www.chitai-gorod.ru/product/malenkie-zhenshchiny-novyy-perevod-2965578,chitai-gorod,978122411950,Книга 'Маленькие женщины...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Маленький принц,Антуан де Сент-Экзюпери,309,309 ₽,https://www.chitai-gorod.ru/product/malenkiy-princ-2713476,chitai-gorod,978484885465,Книга 'Маленький принц...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Герой нашего времени: роман,Михаил Лермонтов,289,289 ₽,https://www.chitai-gorod.ru/product/geroy-nashego-vremeni-roman-2480417,chitai-gorod,978363546375,Книга 'Герой нашего времени: роман...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Капитанская дочка,Александр Пушкин,299,299 ₽,https://www.chitai-gorod.ru/product/kapitanskaya-dochka-2495747,chitai-gorod,978965423026,Книга 'Капитанская дочка...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Бесы. Роман,Федор Достоевский,339,339 ₽,https://www.chitai-gorod.ru/product/besy-roman-2863229,chitai-gorod,978887133633,Книга 'Бесы. Роман...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Морфий,Михаил Булгаков,289,289 ₽,https://www.chitai-gorod.ru/product/morfiy-2512180,chitai-gorod,978855411261,Книга 'Морфий...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Великий Гэтсби,Френсис Скотт Фицджеральд,299,299 ₽,https://www.chitai-gorod.ru/product/velikiy-getsbi-3073166,chitai-gorod,978731275730,Книга 'Великий Гэтсби...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Скорбь Сатаны,Мария Корелли,749,749 ₽,https://www.chitai-gorod.ru/product/skorb-satany-3000038,chitai-gorod,978329221447,Книга 'Скорбь Сатаны...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Ночь в Лиссабоне,Эрих Мария Ремарк,379,379 ₽,https://www.chitai-gorod.ru/product/noch-v-lissabone-2609975,chitai-gorod,978885015398,Книга 'Ночь в Лиссабоне...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Яма: роман,Александр Куприн,309,309 ₽,https://www.chitai-gorod.ru/product/yama-roman-2469370,chitai-gorod,978380816514,Книга 'Яма: роман...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Фауст,Иоганн Вольфганг фон Гёте,329,329 ₽,https://www.chitai-gorod.ru/product/faust-2541984,chitai-gorod,978609127388,Книга 'Фауст...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Вишневый сад,Антон Чехов,299,299 ₽,https://www.chitai-gorod.ru/product/vishnevyy-sad-2912829,chitai-gorod,978737470964,Книга 'Вишневый сад...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Джейн Эйр,Шарлотта Бронте,329,329 ₽,https://www.chitai-gorod.ru/product/dzheyn-eyr-2544490,chitai-gorod,978986832352,Книга 'Джейн Эйр...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Мертвые души: поэма,Николай Гоголь,299,299 ₽,https://www.chitai-gorod.ru/product/mertvye-dushi-poema-2459100,chitai-gorod,978613438641,Книга 'Мертвые души: поэма...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Посторонний,Альбер Камю,319,319 ₽,https://www.chitai-gorod.ru/product/postoronniy-2859722,chitai-gorod,978822895526,Книга 'Посторонний...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
О дивный новый мир,Олдос Леонард Хаксли,389,389 ₽,https://www.chitai-gorod.ru/product/o-divnyy-novyy-mir-2969921,chitai-gorod,978602742138,Книга 'О дивный новый мир...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Собор Парижской Богоматери,Виктор Мари Гюго,339,339 ₽,https://www.chitai-gorod.ru/product/sobor-parizhskoy-bogomateri-2513491,chitai-gorod,978147397964,Книга 'Собор Парижской Богоматери...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Убить пересмешника…,Харпер Ли,529,529 ₽,https://www.chitai-gorod.ru/product/ubit-peresmeshnika-2622192,chitai-gorod,978507964120,Книга 'Убить пересмешника…...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Повелитель мух,Уильям Голдинг,379,379 ₽,https://www.chitai-gorod.ru/product/povelitel-muh-2398281,chitai-gorod,978863518257,Книга 'Повелитель мух...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
"Жизнь взаймы, или У неба любимчиков нет",Эрих Мария Ремарк,379,379 ₽,https://www.chitai-gorod.ru/product/zhizn-vzaymy-ili-u-neba-lyubimchikov-net-2682724,chitai-gorod,978554863181,"Книга 'Жизнь взаймы, или У неба любимчиков нет...'",https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Скотный Двор. Эссе,Джордж Оруэлл,329,329 ₽,https://www.chitai-gorod.ru/product/skotnyy-dvor-esse-2588539,chitai-gorod,978872045928,Книга 'Скотный Двор. Эссе...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Жизнь на продажу,Юкио Мисима,319,319 ₽,https://www.chitai-gorod.ru/product/zhizn-na-prodazhu-2886029,chitai-gorod,978175534428,Книга 'Жизнь на продажу...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Граф Монте-Кристо [Роман. В 2 т.] Том I,Александр Дюма (отец),339,339 ₽,https://www.chitai-gorod.ru/product/graf-monte-kristo-roman-v-2-t-tom-i-2597420,chitai-gorod,978795404976,Книга 'Граф Монте-Кристо [Роман. В 2 т.] Том I...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Анна Каренина: роман,Лев Толстой,349,349 ₽,https://www.chitai-gorod.ru/product/anna-karenina-roman-2459099,chitai-gorod,978120988454,Книга 'Анна Каренина: роман...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Мастер и Маргарита,Михаил Булгаков,0,0 ₽,https://www.chitai-gorod.ru/product/master-i-margarita-2980525,chitai-gorod,978892127396,Книга 'Мастер и Маргарита...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Собор Парижской Богоматери,Виктор Мари Гюго,649,649 ₽,https://www.chitai-gorod.ru/product/sobor-parizhskoy-bogomateri-2919633,chitai-gorod,978323909750,Книга 'Собор Парижской Богоматери...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Театр,Уильям Сомерсет Моэм,379,379 ₽,https://www.chitai-gorod.ru/product/teatr-2401385,chitai-gorod,978329695446,Книга 'Театр...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
К востоку от Эдема,Джон Стейнбек,549,549 ₽,https://www.chitai-gorod.ru/product/k-vostoku-ot-edema-2589236,chitai-gorod,978440970591,Книга 'К востоку от Эдема...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Лолита,Владимир Набоков,849,849 ₽,https://www.chitai-gorod.ru/product/lolita-2860043,chitai-gorod,978584857666,Книга 'Лолита...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
О мышах и людях. Жемчужина,Джон Стейнбек,369,369 ₽,https://www.chitai-gorod.ru/product/o-myshah-i-lyudyah-zhemchuzhina-2537065,chitai-gorod,978551014161,Книга 'О мышах и людях. Жемчужина...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Отель,Артур Хейли,499,499 ₽,https://www.chitai-gorod.ru/product/otel-2410259,chitai-gorod,978546847476,Книга 'Отель...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Цветы для Элджернона,Дэниел Киз,649,649 ₽,https://www.chitai-gorod.ru/product/cvety-dlya-eldzhernona-3034715,chitai-gorod,978870379620,Книга 'Цветы для Элджернона...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Гранатовый браслет,Александр Куприн,299,299 ₽,https://www.chitai-gorod.ru/product/granatovyy-braslet-2504555,chitai-gorod,978488859168,Книга 'Гранатовый браслет...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Демиан,Герман Гессе,359,359 ₽,https://www.chitai-gorod.ru/product/demian-2428172,chitai-gorod,978290555884,Книга 'Демиан...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Таинственный сад,Фрэнсис Элиза Ходжсон Бёрнетт,309,309 ₽,https://www.chitai-gorod.ru/product/tainstvennyy-sad-novyy-perevod-3049549,chitai-gorod,978547674007,Книга 'Таинственный сад...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Скорбь Сатаны,Мария Корелли,339,339 ₽,https://www.chitai-gorod.ru/product/skorb-satany-2772938,chitai-gorod,978916569695,Книга 'Скорбь Сатаны...',https://content.img-gorod.ru/pim/products/images/dc/ef/01931e88-6701-7bf6-81c8-0efcbde6dcef.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
1984,Джордж Оруэлл,339,339 ₽,https://www.chitai-gorod.ru/product/1984-novyy-perevod-2918634,chitai-gorod,978167293105,Книга '1984...',https://content.img-gorod.ru/pim/products/images/02/44/01998498-eeb3-7634-8064-83caf0450244.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Грозовой перевал,Эмили Джейн Бронте,299,299 ₽,https://www.chitai-gorod.ru/product/grozovoy-pereval-2809160,chitai-gorod,978829297910,Книга 'Грозовой перевал...',https://content.img-gorod.ru/pim/products/images/57/5b/018fa205-428e-7c03-934f-c95c0275575b.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Письма Баламута. Баламут предлагает тост,Клайв Льюис,349,349 ₽,https://www.chitai-gorod.ru/product/pisma-balamuta-balamut-predlagaet-tost-2697150,chitai-gorod,978488722663,Книга 'Письма Баламута. Баламут предлагает тост...',https://content.img-gorod.ru/pim/products/images/fe/c0/0199ea73-10ab-7ef7-9ba7-1d65b19cfec0.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Преступление и наказание,Федор Достоевский,329,329 ₽,https://www.chitai-gorod.ru/product/prestuplenie-i-nakazanie-2465295,chitai-gorod,978822872605,Книга 'Преступление и наказание...',https://content.img-gorod.ru/pim/products/images/43/6f/0191b5fa-b44a-7ddd-abc9-69bb2670436f.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Мастер и Маргарита: роман,Михаил Булгаков,309,309 ₽,https://www.chitai-gorod.ru/product/master-i-margarita-roman-2926100,chitai-gorod,978955615830,Книга 'Мастер и Маргарита: роман...',https://content.img-gorod.ru/pim/products/images/e9/9b/018fa279-3bbb-7d59-bad3-940d92f5e99b.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Портрет Дориана Грея,Оскар Уайльд,309,309 ₽,https://www.chitai-gorod.ru/product/portret-doriana-greya-2592760,chitai-gorod,978227777925,Книга 'Портрет Дориана Грея...',https://content.img-gorod.ru/pim/products/images/44/7b/01993210-dde2-78f7-a0f7-4a190d60447b.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Отцы и дети,Иван Тургенев,309,309 ₽,https://www.chitai-gorod.ru/product/otcy-i-deti-2467384,chitai-gorod,978956106652,Книга 'Отцы и дети...',https://content.img-gorod.ru/pim/products/images/d3/15/01934cd2-336c-7088-b320-9c57e80dd315.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Человек недостойный,Дадзай Осаму,309,309 ₽,https://www.chitai-gorod.ru/product/chelovek-nedostoynyy-3032403,chitai-gorod,978923296181,Книга 'Человек недостойный...',https://content.img-gorod.ru/pim/products/images/85/07/0197d439-2601-7eac-9117-c6126ac18507.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Идиот,Федор Достоевский,319,319 ₽,https://www.chitai-gorod.ru/product/idiot-2891539,chitai-gorod,978961346122,Книга 'Идиот...',https://content.img-gorod.ru/pim/products/images/53/ef/018fa25b-aa96-730d-acbb-9e85ba5253ef.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Горе от ума,Александр Грибоедов,299,299 ₽,https://www.chitai-gorod.ru/product/gore-ot-uma-2499954,chitai-gorod,978622029143,Книга 'Горе от ума...',https://content.img-gorod.ru/pim/products/images/80/70/018fa15f-b954-7ef0-86dd-29fde1088070.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Обломов,Иван Гончаров,329,329 ₽,https://www.chitai-gorod.ru/product/oblomov-2931599,chitai-gorod,978842430708,Книга 'Обломов...',https://content.img-gorod.ru/pim/products/images/d4/e3/018fa295-d9b9-7c89-99e8-f462dbd9d4e3.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Скорбь Сатаны,Мария Корелли,0,1 199 ₽,https://www.chitai-gorod.ru/product/skorb-satany-3069165,chitai-gorod,978996749542,Книга 'Скорбь Сатаны...',https://content.img-gorod.ru/pim/products/images/9a/0d/019293ae-637c-7bca-ba2e-dc9456be9a0d.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Три товарища,Эрих Мария Ремарк,449,449 ₽,https://www.chitai-gorod.ru/product/tri-tovarishcha-2666861,chitai-gorod,978781434586,Книга 'Три товарища...',https://content.img-gorod.ru/pim/products/images/10/1d/0190e2dd-e926-7325-adda-3ffaf15e101d.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Гордость и предубеждение,Джейн Остен,0,0 ₽,https://www.chitai-gorod.ru/product/gordost-i-predubezhdenie-3072633,chitai-gorod,978776315044,Книга 'Гордость и предубеждение...',https://content.img-gorod.ru/pim/products/images/94/c4/01975dc4-1e2c-7b2c-b482-8a99e02b94c4.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Ставок больше нет,Жан Сартр,319,319 ₽,https://www.chitai-gorod.ru/product/stavok-bolshe-net-2777363,chitai-gorod,978516708413,Книга 'Ставок больше нет...',https://content.img-gorod.ru/pim/products/images/17/b1/018fa1e4-50b1-7ac6-b393-865f33fc17b1.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Триумфальная арка,Эрих Мария Ремарк,479,479 ₽,https://www.chitai-gorod.ru/product/triumfalnaya-arka-2602918,chitai-gorod,978418473268,Книга 'Триумфальная арка...',https://content.img-gorod.ru/pim/products/images/93/0a/018fa18a-3433-77fe-97d3-e08fd72c930a.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
"Вендетта, или История всеми забытого",Мария Корелли,339,339 ₽,https://www.chitai-gorod.ru/product/vendetta-ili-istoriya-vsemi-zabytogo-2894240,chitai-gorod,978879600349,"Книга 'Вендетта, или История всеми забытого...'",https://content.img-gorod.ru/pim/products/images/b5/fa/018fa253-8ecc-75f2-92ef-51de4fd2b5fa.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
На Западном фронте без перемен,Эрих Мария Ремарк,369,369 ₽,https://www.chitai-gorod.ru/product/na-zapadnom-fronte-bez-peremen-2454296,chitai-gorod,978865300085,Книга 'На Западном фронте без перемен...',https://content.img-gorod.ru/pim/products/images/ef/8a/018fa150-44c7-7fab-8606-3b9e19b4ef8a.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Мартин Иден,Джек Лондон,319,319 ₽,https://www.chitai-gorod.ru/product/martin-iden-2447550,chitai-gorod,978121972028,Книга 'Мартин Иден...',https://content.img-gorod.ru/pim/products/images/2c/f4/018fa154-a4d8-7198-a79a-7305136f2cf4.jpg?width=300&height=300,klassicheskaya-proza-110003,2026-01-20 01:40:36
Братья Карамазовы,Федор Достоевский,379,379 ₽,https://www.chitai-gorod.ru/product/bratya-karamazovy-2863345,chitai-gorod,978816129701,Книга 'Братья Карамазовы...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Мы,Евгений Замятин,299,299 ₽,https://www.chitai-gorod.ru/product/my-2898879,chitai-gorod,978669192836,Книга 'Мы...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Белые ночи,Федор Достоевский,299,299 ₽,https://www.chitai-gorod.ru/product/belye-nochi-2628067,chitai-gorod,978166373295,Книга 'Белые ночи...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Игрок,Федор Достоевский,299,299 ₽,https://www.chitai-gorod.ru/product/igrok-2588414,chitai-gorod,978355508901,Книга 'Игрок...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Гроза. Бесприданница,Александр Островский,299,299 ₽,https://www.chitai-gorod.ru/product/groza-bespridannica-2518553,chitai-gorod,978212390940,Книга 'Гроза. Бесприданница...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Маленькие женщины,Луиза Мэй Олкотт,309,309 ₽,https://www.chitai-gorod.ru/product/malenkie-zhenshchiny-novyy-perevod-2965578,chitai-gorod,978122411950,Книга 'Маленькие женщины...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
Маленький принц,Антуан де Сент-Экзюпери,309,309 ₽,https://www.chitai-gorod.ru/product/malenkiy-princ-2713476,chitai-gorod,978484885465,Книга 'Маленький принц...',https://www.chitai-gorod.ru/_static/fallback-cover.webp,klassicheskaya-proza-110003,2026-01-20 01:40:36
